# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-T" "20" "-a" "/scratch/summit/parsa96@colostate.edu/SC_Genome/sacCer3.ensGene.gtf" "-o" "../outputs/_output/03_feature/counts.txt" "../outputs/_output/02_hisat2/SC01.sam" "../outputs/_output/02_hisat2/SC02.sam" "../outputs/_output/02_hisat2/SC03.sam" "../outputs/_output/02_hisat2/SC04.sam" "../outputs/_output/02_hisat2/SC05.sam" "../outputs/_output/02_hisat2/SC06.sam" "../outputs/_output/02_hisat2/SC07.sam" "../outputs/_output/02_hisat2/SC08.sam" "../outputs/_output/02_hisat2/SC09.sam" "../outputs/_output/02_hisat2/SC010.sam" "../outputs/_output/02_hisat2/SC011.sam" "../outputs/_output/02_hisat2/SC012.sam" 
Geneid	Chr	Start	End	Strand	Length	../outputs/_output/02_hisat2/SC01.sam	../outputs/_output/02_hisat2/SC02.sam	../outputs/_output/02_hisat2/SC03.sam	../outputs/_output/02_hisat2/SC04.sam	../outputs/_output/02_hisat2/SC05.sam	../outputs/_output/02_hisat2/SC06.sam	../outputs/_output/02_hisat2/SC07.sam	../outputs/_output/02_hisat2/SC08.sam	../outputs/_output/02_hisat2/SC09.sam	../outputs/_output/02_hisat2/SC010.sam	../outputs/_output/02_hisat2/SC011.sam	../outputs/_output/02_hisat2/SC012.sam
YDL191W	chrIV;chrIV	117664;118158	117666;118517	+;+	363	2428	2735	2630	2395	4101	3586	2066	2022	6008	4738	2201	2423
YDL190C	chrIV	118707	121592	-	2886	1780	1778	1182	1121	1153	951	1347	1073	1263	1148	1181	1515
YDL189W	chrIV	122216	123589	+	1374	1168	1248	935	902	1021	884	1220	965	1246	1061	1044	1430
YDL188C	chrIV	123865	124998	-	1134	1518	1550	564	583	1238	1083	667	627	1469	1364	646	868
YDL187C	chrIV	125509	125838	-	330	5	3	2	0	2	4	1	0	3	1	0	1
YDL186W	chrIV	125616	126449	+	834	115	123	93	90	70	61	113	99	67	50	118	150
YDL185C-A	chrIV	126608	126835	-	228	24	23	5	5	27	26	7	8	12	20	4	3
YDL185W	chrIV	126787	130002	+	3216	18938	19518	7253	6906	14654	11543	7527	6790	18259	14874	6833	8679
YDL184C	chrIV	130407	130484	-	78	6328	7628	12842	11273	12752	11336	16965	14515	19551	17087	14853	18172
YDL183C	chrIV	130871	131833	-	963	214	242	134	128	255	210	210	143	232	236	159	218
YDL182W	chrIV	133437	134723	+	1287	2120	2602	1748	1814	17154	18350	2390	1878	11912	10424	2079	2767
YDL181W	chrIV	135179	135436	+	258	1797	1986	875	828	1330	1303	1003	743	2826	2411	871	1220
YDL180W	chrIV	135896	137539	+	1644	1267	1210	253	207	741	721	351	302	780	697	295	390
YDL179W	chrIV	138291	139205	+	915	313	358	618	598	590	604	872	744	1144	1000	783	1126
YDL178W	chrIV	139522	141114	+	1593	1901	2086	1654	1697	2322	1874	2174	1796	2400	2211	1766	2350
YDL177C	chrIV	141209	141721	-	513	179	170	171	178	152	145	282	173	219	178	171	252
YDL176W	chrIV	142097	144223	+	2127	439	487	339	328	392	361	587	394	449	439	397	667
YDL175C	chrIV	144484	145518	-	1035	392	454	192	183	367	344	265	198	430	382	202	301
YDL174C	chrIV	145826	147589	-	1764	5884	5849	3392	3090	4651	4128	3950	3228	5912	4907	3711	4979
YDL173W	chrIV	148191	149078	+	888	2257	2684	2366	2269	2211	2203	2604	2519	3048	2675	2621	3204
YDL172C	chrIV	148607	149086	-	480	0	0	0	0	0	0	0	0	0	1	0	0
YDL171C	chrIV	149203	155640	-	6438	15390	15780	2492	2296	8845	6771	2806	2465	10402	7666	2366	3111
YDL170W	chrIV	156318	157904	+	1587	1090	1179	580	610	1221	1049	837	674	872	928	749	987
YDL169C	chrIV	158064	158735	-	672	749	766	441	416	309	297	577	426	283	253	493	724
YDL168W	chrIV	159604	160764	+	1161	3331	3513	4457	4181	2806	2679	5285	4564	3379	2768	4926	6137
YDL167C	chrIV	160995	163154	-	2160	735	743	1259	1177	1266	979	1681	1385	1647	1424	1228	1758
YDL166C	chrIV	163449	164042	-	594	598	624	844	856	656	585	1215	892	944	778	966	1297
YDL165W	chrIV	164290	164865	+	576	495	566	610	559	506	469	690	554	593	500	584	793
YDL164C	chrIV	164987	167254	-	2268	2341	2432	1278	1314	1266	1052	1587	1351	1560	1391	1386	1892
YDL163W	chrIV	166956	167258	+	303	0	0	0	0	0	0	0	0	0	0	0	0
YDL162C	chrIV	167359	167715	-	357	21	35	6	1	13	12	6	7	4	17	6	7
YDL161W	chrIV	167714	169078	+	1365	3397	3769	2570	2437	2454	1988	2837	2553	2421	2225	2903	3891
YDL160C-A	chrIV	169366	169608	-	243	122	168	161	119	139	128	162	166	166	145	118	196
YDL160C	chrIV	170410	171930	-	1521	1578	1657	1140	1136	1481	1293	1645	1250	2149	1809	1285	1852
YDL159W-A	chrIV	172182	172313	+	132	18	14	11	5	14	11	10	13	7	18	14	20
YDL159W	chrIV	172481	174028	+	1548	553	630	605	550	584	492	775	587	543	487	639	908
YDL159C-B	chrIV	173056	173232	-	177	0	0	0	0	0	0	0	0	0	0	0	0
YDL158C	chrIV	173866	174174	-	309	14	23	23	35	22	4	42	25	24	19	34	53
YDL157C	chrIV	174232	174588	-	357	566	637	1368	1363	568	498	1664	1401	715	661	1426	1661
YDL156W	chrIV	174918	176486	+	1569	694	749	485	473	416	320	511	478	567	513	474	624
YDL155W	chrIV	176773	178056	+	1284	1091	1149	712	726	869	739	956	805	1262	1054	802	1076
YDL154W	chrIV	178334	181039	+	2706	249	260	280	303	169	117	429	347	161	157	356	552
YDL153C	chrIV	181186	183018	-	1833	1876	2121	3958	4007	3426	3072	5005	4318	4677	4125	4578	5843
YDL152W	chrIV	182822	183187	+	366	0	3	3	5	0	2	5	3	2	0	1	6
YDL151C	chrIV	183318	183899	-	582	12	8	13	8	29	17	20	21	36	26	14	18
YDL150W	chrIV	183343	184611	+	1269	934	1022	704	756	1237	1202	1153	875	1866	1605	889	1305
YDL149W	chrIV	184925	187918	+	2994	792	739	452	449	390	350	672	519	402	391	538	693
YDL148C	chrIV	188154	190586	-	2433	2093	2222	4958	5073	3173	2851	6053	5121	4270	3935	5474	6958
YDL147W	chrIV	190924	192261	+	1338	3814	4032	6185	6203	2696	2353	8628	6748	3139	2840	7293	9642
YDL146W	chrIV	192750	194225	+	1476	238	206	82	80	185	149	117	66	203	196	68	140
YDL145C	chrIV	194571	198176	-	3606	6441	6802	3852	3765	5487	4592	4895	4032	7462	6439	4062	5411
YDL144C	chrIV	198662	199732	-	1071	1909	2187	1301	1165	1567	1536	1619	1292	1716	1502	1442	1874
YDL143W	chrIV	199996	201582	+	1587	4883	5257	5991	5805	4941	4086	8004	6471	6048	4975	6750	9020
YDL142C	chrIV	201719	202570	-	852	369	390	292	316	229	237	482	396	255	281	368	532
YDL141W	chrIV	203039	205111	+	2073	829	894	678	623	689	625	927	749	865	819	747	975
YDL140C	chrIV	205360	210561	-	5202	6378	6163	5322	4954	5246	4408	6600	5578	7184	5548	5714	7260
YDL139C	chrIV	211375	212046	-	672	373	430	470	499	402	388	710	590	351	345	689	764
YDL138W	chrIV	213351	215642	+	2292	799	882	522	492	642	559	689	570	848	749	618	844
YDL137W	chrIV	216529	217074	+	546	4641	4935	3432	3427	3829	3363	4417	3574	4620	3698	3363	4775
YDL136W	chrIV;chrIV	217600;218008	217602;218367	+;+	363	2118	3759	2912	1715	3533	4090	2331	2523	5809	4742	3295	3846
YDL135C	chrIV	218680	219288	-	609	1102	1234	903	948	936	745	1251	1017	959	992	1129	1461
YDL134C	chrIV	219662	220771	-	1110	2681	2939	1245	1275	2095	1863	1734	1349	2294	1872	1320	1924
YDL133C-A	chrIV	221724	221801	-	78	4012	4921	9798	7150	9039	7482	7275	6565	12844	10444	4877	6160
YDL133W	chrIV	222427	223740	+	1314	847	1006	558	492	1007	809	808	632	750	773	702	1007
YDL132W	chrIV	224304	226751	+	2448	2450	2504	3538	3602	1739	1539	4673	3782	1902	1671	3897	5119
YDL131W	chrIV	227393	228715	+	1323	3321	3871	1190	1169	10099	9314	1581	1148	7762	6867	1329	1632
YDL130W-A	chrIV	229171	229431	+	261	3375	3522	2075	1872	2255	2149	2396	2056	2555	2181	2365	2984
YDL130W	chrIV;chrIV	229906;230321	230019;230527	+;+	321	5478	6449	7900	7560	7896	7775	7568	6581	14666	11103	6462	8138
YDL129W	chrIV	231024	231899	+	876	484	613	377	388	745	656	555	472	513	550	464	656
YDL128W	chrIV	232652	233887	+	1236	3347	3561	1812	1617	3712	3535	2160	1770	4203	3877	1842	2674
YDL127W	chrIV	234927	235853	+	927	551	571	682	703	470	408	1112	823	473	494	872	1167
YDL126C	chrIV	236157	238664	-	2508	25834	26327	17086	16014	14017	12328	18842	16177	15315	12980	17739	22736
YDL125C	chrIV;chrIV	239019;239510	239398;239606	-;-	477	2155	2274	1057	1082	1777	1665	1399	1131	2243	1820	1188	1610
YDL124W	chrIV	240259	241197	+	939	9951	9637	3176	2940	5969	5288	4184	3180	6164	5629	3982	5129
YDL123W	chrIV	241418	241840	+	423	1131	1262	806	802	908	1052	1253	966	813	795	1030	1398
YDL122W	chrIV	242552	244981	+	2430	3028	3263	2573	2647	3095	2614	3303	2597	4295	3652	2883	3670
YDL121C	chrIV	245133	245582	-	450	409	472	939	978	558	547	1203	887	689	622	928	1261
YDL120W	chrIV	245923	246447	+	525	699	789	570	591	582	604	729	617	723	751	623	872
YDL119C	chrIV	246689	247612	-	924	199	251	372	383	221	233	621	455	295	236	498	727
YDL118W	chrIV	247302	247682	+	381	24	18	45	29	10	19	59	60	29	14	57	72
YDL117W	chrIV	248581	251238	+	2658	970	1015	1499	1451	1215	1101	2160	1635	1463	1314	1653	2157
YDL116W	chrIV	251566	253746	+	2181	785	833	917	895	898	708	1285	996	984	884	1001	1357
YDL115C	chrIV;chrIV	253995;255045	254974;255126	-;-	1062	887	904	1118	1140	608	538	1500	1239	603	590	1376	1778
YDL114W-A	chrIV	254935	255048	+	114	0	0	0	0	0	0	0	0	0	0	0	0
YDL114W	chrIV	255604	256530	+	927	20	17	11	6	17	14	13	2	4	11	10	10
YDL113C	chrIV	256633	258555	-	1923	1009	1121	1045	1048	713	530	1344	1116	658	649	1148	1628
YDL112W	chrIV	258915	263225	+	4311	994	1035	1923	1924	1373	1087	2578	2036	1860	1574	2043	2751
YDL111C	chrIV	263313	264110	-	798	592	627	782	788	738	677	1109	827	1032	826	844	1248
YDL110C	chrIV	264512	264964	-	453	5262	5182	4750	4446	2701	2648	5616	4418	3301	2574	5348	6788
YDL109C	chrIV	265258	267201	-	1944	503	540	309	299	407	273	482	377	402	387	438	568
YDL108W	chrIV;chrIV	267698;267807	267725;268699	+;+	921	490	485	602	634	415	397	745	671	511	461	731	918
YDL107W	chrIV	268921	269976	+	1056	357	360	380	368	285	229	542	434	393	330	411	632
YDL106C	chrIV	270222	271901	-	1680	811	821	1338	1336	731	641	1940	1428	764	754	1606	2162
YDL105W	chrIV	272389	273597	+	1209	319	332	260	310	217	179	386	300	280	297	329	433
YDL104C	chrIV	273653	274876	-	1224	172	172	152	142	145	152	194	169	265	207	206	254
YDL103C	chrIV	275148	276581	-	1434	1359	1492	1600	1616	967	778	2090	1652	1109	942	1781	2263
YDL102W	chrIV	276872	280165	+	3294	973	964	846	773	838	614	1112	875	956	900	812	1189
YDL101C	chrIV	280307	281848	-	1542	1051	1180	865	834	711	637	1185	904	767	809	963	1329
YDL100C	chrIV	282112	283176	-	1065	3738	4054	4652	4364	2575	2266	5814	4697	3445	2653	4863	6433
YDL099W	chrIV	283419	284444	+	1026	2381	2609	4631	4664	1908	1898	5861	5114	2138	1979	5494	6871
YDL098C	chrIV	284581	285165	-	585	173	213	187	195	192	157	239	170	162	193	243	307
YDL097C	chrIV	285391	286695	-	1305	4930	5153	8315	7902	3537	3224	10760	8656	3669	3339	9593	12768
YDL096C	chrIV	286998	287324	-	327	3	2	6	4	0	2	6	3	1	0	2	6
YDL095W	chrIV	287059	289512	+	2454	4873	5045	2693	2528	4100	3337	2870	2591	5341	4495	2726	3639
YDL094C	chrIV	289572	290081	-	510	16	9	1	2	8	6	6	4	6	4	5	4
YDL093W	chrIV	289909	292140	+	2232	680	712	467	442	502	373	626	495	561	544	484	713
YDL092W	chrIV	292781	293221	+	441	759	899	812	782	750	663	1039	789	1039	895	846	1110
YDL091C	chrIV	293392	294759	-	1368	462	490	804	802	370	272	1144	929	392	365	919	1314
YDL090C	chrIV	295034	296329	-	1296	294	335	728	712	284	309	1002	747	263	260	779	1064
YDL089W	chrIV	296820	298274	+	1455	345	394	575	575	245	218	783	580	255	257	654	838
YDL088C	chrIV	298417	300003	-	1587	870	1114	1172	1207	921	853	1793	1402	1009	952	1474	2089
YDL087C	chrIV	300214	300999	-	786	516	539	582	574	498	442	819	661	423	418	631	938
YDL086W	chrIV	301413	302234	+	822	1504	1685	1337	1236	967	880	1502	1231	1257	944	1272	1670
YDL086C-A	chrIV	301655	302089	-	435	0	0	0	0	0	0	0	0	0	0	0	0
YDL085C-A	chrIV	302464	302670	-	207	650	702	833	831	687	793	1043	836	877	849	947	1113
YDL085W	chrIV	303211	304848	+	1638	750	818	113	102	423	367	131	113	252	278	150	174
YDL084W	chrIV	305237	306577	+	1341	4194	4927	3845	4058	4707	3903	4654	3818	6420	5289	3661	4936
YDL083C	chrIV;chrIV	306926;307766	307333;307789	-;-	432	4951	5499	2608	2579	6634	6218	2729	2418	11691	9071	2528	3287
YDL082W	chrIV;chrIV	308424;308793	308427;309388	+;+	600	4916	5588	3380	3088	7096	6201	4364	3552	10102	8909	3766	4803
YDL081C	chrIV	309802	310122	-	321	4467	5169	6301	6062	7308	6748	6592	5531	12681	10176	5424	7035
YDL080C	chrIV	310642	312471	-	1830	970	1072	467	520	838	807	685	551	1008	937	569	788
YDL079C	chrIV;chrIV	312951;314337	314044;314748	-;-	1506	259	247	214	188	190	176	250	258	220	203	252	367
YDL078C	chrIV	315357	316388	-	1032	4932	5175	2803	2658	3233	3105	3448	3123	4163	3762	3074	4194
YDL077C	chrIV	316971	320120	-	3150	800	906	522	490	698	556	730	539	726	704	543	798
YDL076C	chrIV	320668	321552	-	885	603	718	591	555	617	532	762	606	517	523	622	852
YDL075W	chrIV;chrIV	322226;322704	322282;322988	+;+	342	6913	7782	6824	6440	8440	7799	5441	5081	17213	11462	5215	6064
snR63	chrIV	323217	323471	-	255	34	42	19	19	24	64	32	16	21	34	30	31
YDL074C	chrIV	324047	326149	-	2103	1436	1591	1170	1192	1338	1130	1630	1290	1815	1634	1224	1734
YDL073W	chrIV	326613	329567	+	2955	772	808	472	538	712	541	761	584	675	693	574	784
YDL072C	chrIV	329836	330447	-	612	3259	3509	4101	3935	2730	2515	5606	4197	2818	2373	4464	6392
YDL071C	chrIV	330666	331040	-	375	179	225	46	34	99	106	53	55	124	114	75	65
YDL070W	chrIV	331024	332940	+	1917	3266	3692	2174	2109	2581	2094	3478	2819	3348	2917	2775	3827
YDL069C	chrIV	333121	333810	-	690	85	118	52	62	82	41	80	81	91	66	65	106
YDL068W	chrIV	333500	333829	+	330	7	14	22	16	6	4	26	15	5	7	21	12
YDL067C	chrIV	334217	334396	-	180	1622	1776	1929	1970	1589	1329	2088	1722	2255	1995	1824	2375
YDL066W	chrIV	334835	336121	+	1287	10863	12371	5553	5363	18620	18927	6962	5711	13631	12734	5926	7929
YDL065C	chrIV	336249	337277	-	1029	1443	1626	1750	1698	1085	958	2008	1735	1359	1276	1762	2138
YDL064W	chrIV;chrIV	337487;337635	337524;338070	+;+	474	681	706	546	567	597	555	745	577	694	642	605	825
YDL063C	chrIV	338272	340134	-	1863	244	268	585	616	500	333	869	696	744	574	707	1046
YDL062W	chrIV	339857	340282	+	426	1	4	1	0	2	3	2	6	3	9	7	3
YDL061C	chrIV	340628	340798	-	171	3360	3710	3122	2719	4114	4310	2986	2498	8000	5796	2639	3006
YDL060W	chrIV	341619	343985	+	2367	2049	2212	2286	2022	2698	2224	2451	2149	3717	3460	2240	2834
YDL059C	chrIV	344237	344953	-	717	3926	4379	335	320	630	636	428	360	969	854	370	505
YDL058W	chrIV	345665	351037	+	5373	2998	3098	1817	1783	2603	2241	2571	2180	3309	2792	1955	2677
YDL057W	chrIV	351434	352420	+	987	584	620	487	524	400	354	661	522	400	385	571	771
YDL056W	chrIV	352877	355378	+	2502	957	1030	990	1014	679	616	1460	1181	1048	840	1191	1592
YDL055C	chrIV	355674	356759	-	1086	23600	25351	8601	8390	14423	12646	10575	8191	27125	19217	8017	11261
tK(UUU)D	chrIV;chrIV	359577;359637	359613;359672	+;+	73	47	51	0	3	33	33	0	2	23	28	0	0
YDL054C	chrIV	359825	361285	-	1461	1055	1114	650	659	946	886	879	682	622	580	662	1069
YDL053C	chrIV	361699	362256	-	558	1345	1524	784	700	1424	1345	929	700	1452	1252	767	982
YDL052C	chrIV	362672	363583	-	912	1079	1203	463	429	1074	986	640	496	914	925	528	699
YDL051W	chrIV	363952	364779	+	828	1024	1288	1296	1270	1896	1554	1742	1369	2207	1907	1498	1821
YDL050C	chrIV	364446	364817	-	372	5	9	1	6	8	11	3	0	5	5	5	9
YDL049C	chrIV	365068	365874	-	807	271	282	220	194	365	342	260	227	339	285	235	343
YDL048C	chrIV	366739	368211	-	1473	1268	1435	2330	2048	1222	1140	3164	2597	1655	1252	3222	4371
YDL047W	chrIV	369771	370706	+	936	3590	3901	3162	2884	4403	4434	4296	3608	4484	4207	3930	5117
YDL046W	chrIV	371240	371761	+	522	4751	5207	3676	3532	3576	3698	4832	3838	3642	3080	4057	5455
YDL045W-A	chrIV	372248	372535	+	288	661	717	797	817	732	763	1203	851	693	769	1014	1333
YDL045C	chrIV	372688	373608	-	921	648	622	965	916	380	381	1261	917	521	471	1051	1424
YDL044C	chrIV	373967	375289	-	1323	307	294	381	381	289	251	566	453	431	413	441	617
YDL043C	chrIV	375680	376480	-	801	324	350	534	529	410	319	755	610	480	463	571	808
YDL042C	chrIV	376757	378445	-	1689	440	434	363	406	458	393	702	463	558	509	501	751
YDL041W	chrIV	378102	378455	+	354	0	0	0	0	1	0	0	0	1	1	0	1
YDL040C	chrIV	378874	381438	-	2565	2894	3057	3194	3237	2901	2388	3724	3117	3560	3227	3222	4347
YDL039C	chrIV	381985	384081	-	2097	429	473	829	783	698	458	1096	896	2043	1364	975	1386
YDL037C	chrIV	384601	385587	-	987	172	208	360	364	352	222	441	326	891	765	401	563
YDL036C	chrIV	387513	388901	-	1389	417	492	459	444	511	427	612	517	696	634	484	671
YDL035C	chrIV	389172	392057	-	2886	819	873	1210	1251	896	735	1762	1425	903	890	1489	1952
YDL034W	chrIV	391783	392127	+	345	5	6	11	13	3	2	12	11	4	9	15	16
YDL033C	chrIV	392659	393912	-	1254	254	292	249	227	258	275	331	294	326	294	304	389
YDL032W	chrIV	393690	394001	+	312	1	6	0	1	2	0	0	0	0	1	1	0
YDL031W	chrIV	394217	397204	+	2988	2515	2725	4046	4165	3732	3328	4920	4197	5559	5039	4449	5380
YDL030W	chrIV	397537	399129	+	1593	383	404	350	376	420	378	459	357	514	466	393	534
YDL029W	chrIV;chrIV	399340;399485	399361;400638	+;+	1176	5088	5436	4920	4686	4331	3804	5865	5046	5016	4350	5185	6752
YDL028C	chrIV	400997	403291	-	2295	542	543	827	869	461	418	1268	1010	630	588	991	1407
YDL027C	chrIV	403695	404957	-	1263	351	407	390	416	306	252	574	458	401	368	464	642
YDL026W	chrIV	404749	405060	+	312	2	6	10	6	1	2	11	9	5	2	7	11
YDL025C	chrIV	405344	407206	-	1863	1258	1502	636	686	1093	1186	970	752	1125	1033	836	1098
YDL025W-A	chrIV	405410	405514	+	105	0	0	0	0	0	0	0	0	0	0	0	0
YDL024C	chrIV	408451	409857	-	1407	143	213	87	75	155	126	98	88	98	100	109	139
YDL022C-A	chrIV	409808	410056	-	249	6	8	0	0	3	5	0	2	4	7	1	0
tA(AGC)D	chrIV	410379	410451	+	73	3	5	0	0	8	1	1	0	2	1	0	0
YDL023C	chrIV	411761	412081	-	321	7	9	1	0	13	8	0	3	3	3	1	0
YDL022W	chrIV	411825	413000	+	1176	5774	6030	3085	2778	7715	6981	4509	3275	5782	4712	3749	5659
YDL021W	chrIV	413953	414888	+	936	285	341	140	133	182	152	182	130	188	147	173	234
YDL020C	chrIV	415113	416708	-	1596	1910	2119	2353	2346	1907	1726	3373	2656	1671	1563	2943	4212
